,Unnamed: 0,Column1,scope,title,manual_keywords,generated_keywords,name,description
120,120,120,OPEN vhb,Technische Grundlagen von Blockchain und Distributed Ledger Technologien,Blockchain;Distributed Ledger Technologies;Bitcoin;Ethereum;Hyperledger,Blockchain;Distributed Ledger Technology;Cryptography;Block Chaining;Consensus Mechanisms;Network Design;Bitcoin;Ethereum;Hyperledger;Digital Technology,Technische Grundlagen von Blockchain und Distributed Ledger Technologien,
121,121,121,OPEN vhb,Digital Health: Law and Ethics,Digital Health;Law;Ethics,Digital Health;Healthcare;Law;Ethics;Medicine;Technology;Patient Care;Healthcare System;Medical Ethics;Online Education,Digital Health: Law and Ethics,
122,122,122,OPEN vhb,Deutsch als Fremdsprache B2: Fachsprache Musik,Languages;Music;German as a foreign language;German,German Language;Music;Vocabulary Building;Sentence Structures;Online Course;Language Skills;Musical Terminology;B2 Level;Language Learning;Music Theory,Deutsch als Fremdsprache B2: Fachsprache Musik,
123,123,123,OPEN vhb,Deutsch als Fremdsprache B1: Grammatik Aufbaukurs,German as a foreign language;grammar;DaF;B1,German Language;Grammar Course;B1 Level;Language Skills;Grammar Areas;Video Explanations;Practice Exercises;Language Improvement;Online Course;Deutsch als Fremdsprache,Deutsch als Fremdsprache B1: Grammatik Aufbaukurs,
124,124,124,OPEN vhb,Deutsch als Fremdsprache C1: Fachsprache Wirtschaft,German;German as a foreign language;Economics;Business studies;Business administration,German language;Business vocabulary;Economics;Finance;Commerce;Language skills;Specialized vocabulary;Business world;Study materials;Professional language,Deutsch als Fremdsprache C1: Fachsprache Wirtschaft,
125,125,125,OPEN vhb,TL;DR - Convey topics briefly and concisely,attention;reduction;information overload;communication;knowledge,Communication;Concise writing;Clear messaging;Clarity;Brevity;Attention span;Digital age;Information transfer;Effective communication;Simplified language,TL;DR - Convey topics briefly and concisely,
126,126,126,OPEN vhb,Grundlagen der nachhaltigen Produktion,Sustainability;energy efficiency;resource-saving;automation;CO2-neutral,Sustainable Production;Environmental Friendly;Carbon Footprint;Product Lifecycle;Recycling;Waste Reduction;Energy Efficiency;Green Practices;Customer Needs;Business Strategy,Grundlagen der nachhaltigen Produktion,
127,127,127,OPEN vhb,Smarter German - Hörtraining A1.2,German as a foreign language;listening comprehension;listening strategy,German Language;Listening Skills;Everyday Conversations;University Life;Campus Life;Language Training;Listening Strategies;Simple Texts;Real-Life Situations;Language Improvement,,
128,128,128,OPEN vhb,Liebe oder Rache? Facetten alttestamentlicher Gottesbilder,Theology;Bible;Religious Studies;Old Testament;God,Old Testament;God's Image;Biblical Texts;Diversity;Richness;Ancient Near East;History of Creation;Israel's Faith;Theology;God's Self-Revelation,Liebe oder Rache? Facetten alttestamentlicher Gottesbilder,
129,129,129,OPEN vhb,Pandemien – Eine Herausforderung für die Gesellschaft und Forschung am Beispiel von SARS-CoV-2,Pandemics;Corona;Virology;SARS-CoV-2,Pandemics;Viral infections;SARS-CoV-2;Public health;Research;Globalization;Climate change;Infection control;Diagnosis;Epidemiology,,
130,130,130,OPEN vhb,Principles of Fintech Business Models,Fintech;Paytech;Crowdfunding;Blockchain Technology;Cryptocurrency,Fintech;Business Models;Financial Technology;Banking;Finance;Innovation;Disruption;Alternative Payment;Blockchain;Artificial Intelligence,Principles of Fintech Business Models,
131,131,131,OPEN vhb,Sicherheit im Chemielabor 360° (SiL:360),Chemistry;Laboratory safety;Teacher training,Laboratory Safety;Chemistry Lab;Safety Equipment;Hazardous Substances;Waste Disposal;Emergency Procedures;Experiment Setup;Laboratory Instruments;Chemical Handling;Risk Assessment,Sicherheit im Chemielabor 360° (SiL:360),
132,132,132,OPEN vhb,Building Confidence in Statistics,statistic;overcome the fear of maths;developing statistic skills;Statistik;statistics,Statistics;Confidence;Mathematics;Learning;Course;Applied;Real-world;Basic;Development;Understanding,Building Confidence in Statistics,
133,133,133,OPEN vhb,Wissenschaftssprache Deutsch verstehen,Scientific German;scientific texts;reading comprehension,German Language;Scientific Communication;Language Analysis;Scientific Texts;Language Structures;Reading Strategies;Comprehension;Scientific Writing;German Culture;Academic Language,Wissenschaftssprache Deutsch verstehen,
134,134,134,OPEN vhb,Diversity Management in Sozialen Organisationen,Diversity;Diversity awareness;Method training;Managing diversity;Organizational design,Diversity Management;Social Organizations;Inclusion;Diverse Workforce;Cultural Awareness;Best Practices;Training and Development;Organizational Change;Communication Skills;Employee Engagement,Diversity Management in Sozialen Organisationen,
135,135,135,OPEN vhb,Introduction to Academic Research - For Humanities Students with a Focus on Philosophy and Ethics,Humanities;Academic Writing;Research;Writing Skills;Research Skills,Academic Research;Humanities;Philosophy;Ethics;Text Analysis;Logical Argumentation;Literature Research;Scientific Writing;Presentation Skills;Critical Thinking,Introduction to Academic Research - For Humanities Students with a Focus on Philosophy and Ethics,
136,136,136,LERNEN.cloud,Citizen science,Cybersecurity;School;Teaching material;Internet;Media literacy,Data Collection;Citizen Engagement;Public Participation;Sensors;Data Analysis;Pseudonymization;Privacy;Cybersecurity;Environmental Change;Knowledge Generation,Citizen science,"<p>Collecting data on the internet also has positive aspects, for example promoting public participation. The aim of the final course <strong>»Citizen Science«</strong> in our course series is to identify the reasons why data is collected and how it can contribute to change and progress. You will get to see the relevance of sensors for data collection and understand how you can generate new knowledge based on your own collected data and use it to initiate change in your own environment. At the same time, you learn how pseudonymised data collection can create added value for society without revealing sensitive information about their own privacy. </p><p>You can find all information about the project at <a target=""_blank"" rel=""noopener"" href=""https://cybersecurity4schools.de/en/"">https://cybersecurity4schools.de/en</a></p>"
137,137,137,LERNEN.cloud,Data privacy & Big data,Cybersecurity;School;Teaching material;Internet;Media literacy,Data privacy;Big data;Online activities;Digital footprint;Data collection;Analysis;Encryption;Chat program;Cybersecurity;Personal data protection,Data privacy & Big data,"<p>The course <strong>»Data privacy &amp;Big data«</strong> deals with these online activities that become our personal digital footprint. What data do we consciously or unconsciously disclose about ourselves and which of this data is collected and analysed by third parties? To better understand how such systems work, you slip into the role of an analysis algorithm. Later, you will use the microboard Calliope mini to program a chat program that works with encryption.You will be taught the mechanisms for taking action against unwanted data collection and analysis.</p><p>You can find all information about the project at <a target=""_blank"" rel=""noopener"" href=""https://cybersecurity4schools.de/en/"">https://cybersecurity4schools.de/en</a></p>"
138,138,138,LERNEN.cloud,How do I navigate the internet?,Cybersecurity;School;Teaching material;Internet;Media literacy,Internet basics;Online safety;Cybersecurity;Awareness;Education;Learning;Online dangers;Security measures;Computer skills;Digital literacy,How do I navigate the internet?,"<p>In contrast to the dangers in our everyday lives, dangers on the internet are invisible and not comprehensible to users. Non-visible processes generally promote so-called black box thinking. This leads to ignorance, which in turn leads to discomfort and rejection. </p><p>This course covers the topics and content of the first module, which makes the structure and functioning of the internet tangible. With the help of the background information, the awareness of cybersecurity is to be strengthened in a playful way. </p><p>All information on the project can be found at <strong><a href=""https://cybersecurity4schools.de/en"">https://cybersecurity4schools.de/en</a></strong></p>"
139,139,139,LERNEN.cloud,Passwords & Data security,Cybersecurity;School;Teaching material;Internet;Media literacy,Online Safety;Password Security;Data Encryption;Cybersecurity;Secure Passwords;Digital Safety;Information Protection;Encryption Methods;Decision Trees;Secure Computing,Passwords & Data security,"<p>A digital unprotected message is comparable to a postcard that can be read at any time when sent. A letter with an envelope is like an encrypted message. </p><p>In this course <strong>»Passwords &amp;Data security«</strong>, awareness is raised in dealing with (in)secure access to data. You will learn about the use and importance of strong passwords and methods to create and remember strong passwords yourself. Furthermore, it is about the development and application of decision trees (using secure passwords as an example) and other methods for encrypting data.  </p><p>You can find all information about the project at <a target=""_blank"" rel=""noopener"" href=""https://cybersecurity4schools.de/en/"">https://cybersecurity4schools.de/en</a></p>"
140,140,140,LERNEN.cloud,bettermarks - Adaptives Lernsystem für Mathematik,Maths;maths book;bettermarks;teaching tool,Mathematics;Learning System;Adaptive Technology;School Math;Exercise Units;Feedback;Correction;Evaluation;Problem-Solving;Online Education,,
141,141,141,LERNEN.cloud,Mit Beziehungslernen den Potenzialblick trainieren,Students;potential development;communication;resonance;co-operation;self-efficacy;performance development;productivity;empathy,Social Skills;Relationship Building;Emotional Intelligence;Self-Awareness;Identity Development;Empathy;Communication Skills;Active Listening;Respectfulness;Personal Growth,Mit Beziehungslernen den Potenzialblick trainieren,"<p>Beziehungskompetenz drueckt sich in Achtsamkeit und Wertschaetzung aus. Wo Kinder und Jugendliche sich gesehen fuehlen, entwickeln sie Selbstbewusstsein, Identitaet und entfalten ihre Potenziale.</p>"
142,142,142,LERNEN.cloud,Datenschutz & Big Data,Cybersecurity;School;Teaching material;Internet;Media literacy,Online Safety;Personal Data;Digital Footprint;Data Collection;Data Analysis;Encryption;Chat Program;Microboard;Cybersecurity;Data Protection,Datenschutz & Big Data,"<p>Der Kurs <strong>»Datenschutz &amp;Big Data«</strong> behandelt diese Online-Aktivitaeten aus denen unser persoenlicher digitaler Fußabdruck wird. Welche Daten geben wir bewusst oder unbewusst von uns preis und welche dieser Daten werden davon gesammelt und von Dritten analysiert? Um besser zu verstehen, wie solche Systeme arbeiten, schluepfen Sie in die Rolle eines Analyse-Algorithmus. Spaeter programmieren Sie mit dem Mikroboard Calliope mini ein Chat-Programm, welches mit Verschluesselung arbeitet.Sie bekommen die Mechanismen vermittelt, wie Sie gegen ungewollte Datensammlungen und -analysen vorgehen koennen.</p><p>Alle Informationen zum Projekt finden Sie unter <a href=""https://cybersecurity4schools.de"">https://cybersecurity4schools.de</a></p>"
143,143,143,LERNEN.cloud,Citizen Science,Cybersecurity;School;Teaching material;Internet;Media literacy,Data Collection;Online Learning;Citizen Engagement;Sensors;Data Analysis;Community Impact;Privacy Protection;Cybersecurity;Environmental Awareness;Social Change,Citizen Science,"<p>Das Sammeln von Daten im Internet hat auch positive Aspekte, zum Beispiel die Foerderung der Oeffentlichkeitsbeteiligung. Ziel des abschließenden Kurses <strong>»Citizen Science«</strong> unserer Kursreihe ist es, die Gruende zu ermitteln, warum Daten gesammelt werden und wie diese zu Veraenderungen und Fortschritt beitragen koennen.Sie lernen die Relevanz von Sensoren zur Datenerhebung kennen und verstehen, wie Sie basierend auf eigenen erhobenen Daten neues Wissen erzeugen und dieses nutzen koennen, um Veraenderungen im eigenen Umfeld anzustoßen. Gleichzeitig erfahren Sie dabei, wie durch pseudonymisierte Datenerhebung ein gesellschaftlicher Mehrwert geschaffen werden kann, ohne sensible Informationen ueber die eigene Privatsphaere preiszugeben. </p><p>Alle Informationen zum Projekt finden Sie unter <a href=""https://cybersecurity4schools.de"">https://cybersecurity4schools.de</a></p>"
144,144,144,LERNEN.cloud,Passwörter & Datensicherheit,Cybersecurity;School;Teaching material;Internet;Media literacy,Data Security;Passwords;Online Safety;Cybersecurity;Digital Privacy;Encryption;Secure Access;Online Protection;Password Management;Data Protection,,
145,145,145,LERNEN.cloud,Wie bewege ich mich im Internet?,Cybersecurity;School;Teaching material;Internet;Media literacy,Internet basics;Cybersecurity;Online safety;Internet functions;Online awareness;Safety online;Internet understanding;Digital literacy;Online behavior;Cyber security for schools,Wie bewege ich mich im Internet?,"<p>Im Gegensatz zu den Gefahren in unserem Alltag sind Gefahren im Internet unsichtbar und fuer Nutzer*innen nicht nachvollziehbar. Nicht sichtbare Prozesse foerdern im Allgemeinen das sogenannte Black-Box-Denken. Daraus folgt Unwissenheit, welche wiederum in Unbehagen und Ablehnung muendet.  </p><p>Dieser Kurs umfasst die Themenfelder und Inhalt des ersten Moduls, welches den Aufbau und die Funktionsweise des Internets greifbar macht. Mit Hilfe der Hintergrundinformationen soll spielerisch das Bewusstsein fuer Cybersicherheit gestaerkt werden.</p><p>Alle Informationen zum Projekt finden Sie unter <a href=""https://cybersecurity4schools.de"">https://cybersecurity4schools.de</a></p>"
146,146,146,LERNEN.cloud,Cybersecurity4Schools - Übersicht,Cybersecurity;School;Teaching material;Internet;Media literacy,Cybersecurity;Online Safety;Internet Safety;Information Security;Cyber Threats;Online Risks;Digital Safety;Computer Security;Online Protection;Cyber Education,,
147,147,147,LERNEN.cloud,Blended-Learning-Einführungskurs iPads für Tablet-Klassen,Teaching tool;ipad;tablet;school,iPad;Tablet Classroom;Blended Learning;Introduction Course;Educational Technology;Digital Learning;Online Course;Interactive Learning;Step-by-Step Guidance;Student Orientation,,
148,148,148,LERNEN.cloud,"""Medientreff"" – Kollegiale Vermittlung digitaler Kompetenzen,School;digital skills;teaching staff;digitalisation at school;digital teaching;networking at school,Professional Development;Digital Skills;Teacher Collaboration;School-Based Learning;Flexible Learning;Peer-to-Peer Learning;Workshop Format;Educational Technology;Teacher Training;Team-Building,"""Medientreff"" – Kollegiale Vermittlung digitaler Kompetenzen","<p>Ein Medientreff ist ein flexibles Fortbildungsformat, um <strong>digitale Kompetenzen im eigenen Schulkollegium</strong> in wertschaetzender Atmosphaere zu vermitteln.Die teilnehmenden Lehrkraefte gestalten durch die Themenwahl, den gemeinsamen kollegialen Austausch und dem spiralfoermigen Kompetenzerwerb jeden Medientreff in einzigartiger Weise mit.</p>"
149,149,149,LERNEN.cloud,LERNEN.cloud-Forum 2021: Lehrerfortbildung zu jeder Zeit und an jedem Ort,Forum;training;digital teaching;effective;federal states;self-study course;online course;hybrid teaching;creating;experience;digital teaching media;digital learning media;innovative concepts;lesson design;accreditation of digital trainings,Teacher Training;Digital Learning;Online Education;Professional Development;Coronavirus Pandemic;Online Seminars;Learning Resources;Educational Technology;Teacher Education;Distance Learning,LERNEN.cloud-Forum 2021: Lehrerfortbildung zu jeder Zeit und an jedem Ort,"<p>Seit Beginn der Corona-Pandemie ist die Anzahl digitaler Lernangebote in Erwachsenenbildung foermlich explodiert. Immer wieder neue online-Seminare, die Fuelle an Lernvideos auf Youtube, neue Lernplattformen – eine Menge an Unternehmen wollen auf den Zug der digitalen Lehre aufspringen. Doch wie ist die Qualitaet dieser Angebote?</p>"
150,150,150,LERNEN.cloud,LERNEN.cloud-Forum 2022: Sich digital fortbilden? Qualitativ und nachhaltig!,Forum;training;digital teaching;effective;federal states;learning course;online course;flipped classroom;hybrid teaching;programming tasks;development;experience;digital teaching media;digital learning media;innovative concepts;lesson design,Digital Learning;Teacher Training;Online Education;Professional Development;Sustainability;Quality Control;Teacher Needs;Structured Learning;Technology Integration;Educational Forum,LERNEN.cloud-Forum 2022: Sich digital fortbilden? Qualitativ und nachhaltig!,"<p>Zwei Jahre nach der Pandemie sind Online-Angebote bereits fester Bestandteil der Lehrkraeftefortbildung geworden. Die vielfaeltigen Angebote sind jedoch haeufig zu unstrukturiert und nicht immer bedarfsgerecht. Im zweiten LERNEN.cloud-Forum vom 17. Juni 2022 stand daher im Fokus, wie sich digitale Fortbildungen fuer Lehrkraefte qualitativ hochwertig gestalten lassen. </p>"
151,151,151,LERNEN.cloud,LERNEN.cloud-Forum 2023: Wie begeistere ich meine Schüler:innen für MINT? Digital – Interaktiv – Kreativ,Forum;training;digital teaching;effective;federal states;self-study course;online course;hybrid teaching;creating;experience;digital teaching media;digital learning media;innovative concepts;lesson design;STEM;aI;school;computer science lessons;digital and analogue;virtual reality;serious games;design thinking;playful;tools for teaching;motivation;students;gender stereotypes;diversity;creativity;interactivity,MINT subjects;Education;Learning;Digital tools;Interactive lessons;Creativity;Diversity;Inclusivity;Innovative teaching;Classroom resources,,
152,152,152,LERNEN.cloud,Java - Objektorientierte Programmierung für Schüler:innen,School;Classes;Programming;Computer Science;Java,Java Programming;Object-Oriented Programming;High School Students;Online Course;Programming Exercises;Practical Skills;Java Language;Computer Science;Programming Basics;Object-Oriented Principles,,
153,153,153,LERNEN.cloud,Interaktives Periodensystem - erforsche die Elemente deiner Erde,teaching;lesson design;school;digital tools;education;sustainable development;digital world;teaching ideas;experimenting;designing;creative;teamwork skills,Interactive learning;Periodic table;Elements;Sustainable development;Digital education;Research project;Makey Makey;Presentation skills;Science education;Environmental awareness,Interaktives Periodensystem - erforsche die Elemente deiner Erde,"<p><strong>Du bist Lehrkraft und auf der Suche nach spannenden Unterrichtsprojekten, die Themen nachhaltiger Entwicklung mit Themen digitaler Bildung verknuepfen?</strong></p><p>In diesem Projekt (passend fuer <strong>Sek I</strong>) erforschen deine Schueler*innen, in welcher Beziehung ein Element zu ihrem Leben steht und bereiten anschließend mithilfe vom Makey Makey ihre Rechercheergebnisse interaktiv auf.</p><p><strong><a target=""_blank"" rel=""noopener"" href=""https://tueftelakademie.de/wp-content/uploads/2020/02/Interaktives-Periodensystem-Downloadmaterial-komplett.zip"">Hier</a> gibt es das gesamte Arbeitsmaterial als ZIP-Ordner kostenlos zum downloaden. Viel Spaß!</strong></p><hr><p>Die Materialien wurden vom Digital Literacy Lab (DLL) erstellt: das DLL ist ein Gemeinschaftsprojekt von <a target=""_blank"" rel=""noopener"" href=""https://junge-tueftler.de/"">Junge Tueftler</a>, <a target=""_blank"" rel=""noopener"" href=""https://education-innovation-lab.de/"">Education Innovation Lab</a> und <a target=""_blank"" rel=""noopener"" href=""https://tueftelakademie.de/"">TueftelAkademie</a> – drei Organisationen, die Nachhaltigkeit und digitale Bildung fest an Schulen verankern moechten.</p><p>Weitere Informationen findest du auf unserer <a target=""_blank"" rel=""noopener"" href=""http://dl-lab.org/"">Projektwebsite</a>.</p><p><em>Lizenz</em></p><p>Alle unsere Materialien werden als kostenlose, offene Lehr- und Lernmaterialien - sogenannte&nbsp;Open Educational Resources&nbsp;(OER) entwickelt. Die Inhalte unserer Materialien sind, sofern nicht anders angegeben, unter&nbsp;CC-BY-SA 4.0&nbsp;TueftelAkademie verwendbar.</p>"
154,154,154,LERNEN.cloud,Klimafresser - Was deine Ernährung mit dem Klimawandel zu tun hat,teaching;lesson design;school;digital tools;education;sustainable development;digital world;teaching ideas;experimenting;designing;creative;teamwork skills,Climate Change;Nutrition;Education;Sustainability;Programming;Digital Education;Environmental Impact;Food Research;Quiz Creation;Online Learning,,
155,155,155,LERNEN.cloud,Make less noise - was Lautstärke mit deiner Gesundheit zu tun hat,teaching;lesson design;school;digital tools;education;sustainable development;digital world;teaching ideas;experimenting;designing;creative;teamwork skills,Noise Pollution;Health;Well-being;Education;Sustainability;Digital Literacy;Classroom;Measurement;Control;Environmental Awareness,,
156,156,156,LERNEN.cloud,Nachhaltige Stadtentwicklung - Wer braucht was in der Stadt der Zukunft?,teaching;lesson design;school;digital tools;education;sustainable development;digital world;teaching ideas;experimenting;designing;creative;teamwork skills,Sustainable Development;City Planning;Digital Education;Robot Technology;Urban Future;Student Projects;Neighborhood Design;Perspective-Taking;Environmental Awareness;Open Educational Resources,Nachhaltige Stadtentwicklung - Wer braucht was in der Stadt der Zukunft?,"<p><strong>Du bist Lehrkraft und auf der Suche nach spannenden Unterrichtsprojekten, die Themen nachhaltiger Entwicklung mit digitaler Bildung verbinden?</strong> </p><p>In diesem Projekt entwickeln deine Schuelerinnen und Schueler mithilfe von Kreativtechniken Vorschlaege fuer einen nachhaltigen Stadtteil. Dabei nehmen sie mit Hilfe der <strong>Ozobot-Roboter</strong> die Perspektive unterschiedlicher fiktiver Stadtbewohner*innen ein und entwickeln somit ein Verstaendnis fuer deren Beduerfnisse in einer Stadt. Abschließend gestalten die Schuelerinnen einen Ozobot-Parcour durch ihren <strong>nachhaltigen Stadtteil</strong>.</p><p><a target=""_blank"" rel=""noopener"" href=""https://tueftelakademie.de/wp-content/uploads/2020/02/Nachhaltige-Stadtentwicklung.zip"">Hier</a> findest du das gesamte Arbeits-Material fuer das Projekt gesammelt in einem ZIP-Ordner - kostenlos zum Download. Viel Spaß!</p><hr><p>Die Materialien wurden vom Digital Literacy Lab entwickelt - ein Gemeinschaftsprojekt von <a target=""_blank"" rel=""noopener"" href=""https://junge-tueftler.de/"">Junge Tueflter</a>, <a target=""_blank"" rel=""noopener"" href=""https://education-innovation-lab.de/"">Education Innovation Lab</a> und <a target=""_blank"" rel=""noopener"" href=""https://tueftelakademie.de/"">TueftelAkademie</a> – drei Organisationen, die Nachhaltigkeit und digitale Bildung fest an Schulen verankern moechten.</p><p>Weitere Informationen findest du auf unserer <a target=""_blank"" rel=""noopener"" href=""http://dl-lab.org/"">Projektwebsite</a>.</p><p><em>Lizenz</em></p><p>Alle unsere Materialien werden als kostenlose, offene Lehr- und Lernmaterialien - sogenannte&nbsp;Open Educational Resources&nbsp;(OER) entwickelt. Die Inhalte unserer Materialien sind, sofern nicht anders angegeben, unter&nbsp;CC-BY-SA 4.0&nbsp;TueftelAkademie verwendbar.</p>"
157,157,157,LERNEN.cloud,Plastik nein danke - Plastikkonsum verstehen und verändern,teaching;lesson design;school;digital tools;education;sustainable development;digital world;teaching ideas;experimenting;designing;creative;teamwork skills,Plastic waste;Sustainable development;Digital education;Environmental awareness;Data collection;Observations;Interviews;Digital tools;Innovation;Reduce-Reuse-Recycle,,
158,158,158,LERNEN.cloud,Sense Your School - Ändere das Verhalten deiner Schule,teaching;lesson design;school;digital tools;education;sustainable development;digital world;teaching ideas;experimenting;designing;creative;teamwork skills,Sustainability;Environmental Education;School Project;Digital Learning;Intervention;Behavior Change;Healthy School;Environmental Awareness;Community Engagement;Student-Led Initiative,,
159,159,159,LERNEN.cloud,Umweltverschmutzung und Daten,teaching;lesson design;school;digital tools;education;sustainable development;digital world;teaching ideas;experimenting;designing;creative;teamwork skills,Environmental Education;Sustainable Development;Digital Learning;Data Collection;Public Spaces;Car Pollution;Independent Data;Problem-Solving;Innovation;Science Education,Umweltverschmutzung und Daten,"<p><strong>Du bist Lehrkraft und auf der Suche nach Unterrichtsprojekten, die Themen nachhaltiger Entwicklung mit digitaler Bildung verbinden?</strong>&nbsp;</p><p>In diesem Projekt erforschen deine Schueler*innen den oeffentlichen Raum in ihrer unmittelbaren Umgebung und erheben selbststaendig Umweltdaten. Sie legen dabei einen besonderen Fokus auf den Einfluss von Autos und entwickeln eigene Ideen, um die Lebensqualitaet im oeffentlichen Raum zu verbessern.Mit <strong>Calliope mini</strong> und <strong>senseBox</strong> lernen deine Schueler*innen eigene Messdaten zu erheben und werden so fuer die Bedeutung unabhaengiger Daten sensibilisiert. Außerdem koennen deine Schuelerinnen die Wirksamkeit der von ihnen entwickelten Verbesserungsvorschlaege mit Hilfe ihrer Messdaten selbststaendig ueberpruefen.</p><p><strong><a target=""_blank"" rel=""noopener"" href=""https://tueftelakademie.de/wp-content/uploads/2020/01/umwelt-und-daten-1.zip"">HIER</a>&nbsp;gibt es das gesamte Material zum kostenlosen Download als ZIP-Ordner.</strong></p><hr><p><em>Ueber das Projekt</em></p><p>Die Materialien wurden vom&nbsp;<a target=""_blank"" rel=""noopener"" href=""http://dl-lab.org/"">Digital Literacy Lab</a>&nbsp;erstellt: das ist ein Gemeinschaftsprojekt von&nbsp;<a target=""_blank"" rel=""noopener"" href=""https://junge-tueftler.de/"">Junge&nbsp;Tueftler*innen</a>,&nbsp;E<a target=""_blank"" rel=""noopener"" href=""https://education-innovation-lab.de/"">ducation Innovation Lab</a>&nbsp;und&nbsp;<strong><a target=""_blank"" rel=""noopener"" href=""https://tueftelakademie.de/"">TueftelAkademie</a></strong>&nbsp;– drei Organisationen, die Nachhaltigkeit und digitale Bildung fest an Schulen verankern moechten.</p><p><em>Lizenz</em></p><p>Alle unsere Materialien werden als kostenlose, offene Lehr- und Lernmaterialien - sogenannte&nbsp;<a target=""_blank"" rel=""noopener"" href=""https://open-educational-resources.de/"">Open Educational Resources</a>&nbsp;(OER) entwickelt. Die Inhalte unserer Materialien sind, sofern nicht anders angegeben, unter&nbsp;<a target=""_blank"" rel=""noopener"" href=""https://creativecommons.org/licenses/by-sa/4.0/deed.de"">CC-BY-SA 4.0</a>&nbsp;TueftelAkademie verwendbar.</p>"
160,160,160,LERNEN.cloud,Virtuelle Textilfabrik - Ressourcenverbrauch in der Textilindustrie,teaching;lesson design;school;digital tools;education;sustainable development;digital world;teaching ideas;experimenting;designing;creative;teamwork skills,Virtual factory;Textile industry;Sustainability;Resource consumption;Research project;3D simulation;CoSpaces program;Digital learning;Environmental education;Open educational resources,Virtuelle Textilfabrik - Ressourcenverbrauch in der Textilindustrie,"<p><strong>Du bist Lehrkraft und auf der Suche nach Unterrichtsprojekten, die Themen nachhaltiger mit Themen digitaler Bildung verbinden?</strong> In diesem Projekt recherchieren deine Schueler*innen zur globalisierten <strong>Textilwirtschaft</strong>. Ihre Ergebnisse visualisieren sie mit Hilfe des Programmes <a target=""_blank"" rel=""noopener"" href=""https://cospaces.io/edu/""><strong>CoSpaces</strong></a> in einem dreidimensionalen, virtuellen Raum.</p><p><a target=""_blank"" rel=""noopener"" href=""https://cospaces.io/edu/"">CoSpaces</a> ermoeglicht es deinen Schueler*innen, niedrigschwellig 3-dimensionale Raeume virtuell zu gestalten. Hierbei haben sie neue Moeglichkeiten ihre Rechercheergebnisse darzustellen und sie erlebbar zu machen.</p><p><a target=""_blank"" rel=""noopener"" href=""https://tueftelakademie.de/wp-content/uploads/2020/01/virtuelle-textilfabrik.zip"">Hier</a> gibt es das gesamte Material zum kostenlosen Download als ZIP-Ordner.</p><hr><p><strong>Ueber Das Projekt</strong></p><p>Die Materialien wurden vom <a target=""_blank"" rel=""noopener"" href=""https://cospaces.io/edu/"">Digital Literacy Lab</a> (DLL) erstellt: das DLL ist ein Gemeinschaftsprojekt von <a target=""_blank"" rel=""noopener"" href=""https://junge-tueftler.de/"">Junge Tueftler</a>, <a target=""_blank"" rel=""noopener"" href=""https://education-innovation-lab.de/"">Education Innovation Lab</a> und <a target=""_blank"" rel=""noopener"" href=""https://tueftelakademie.de/"">TueftelAkademie</a> – drei Organisationen, die Nachhaltigkeit und digitale Bildung fest an Schulen verankern moechten.</p><p><strong>Lizenz</strong></p><p>Alle unsere Materialien werden als kostenlose, offene Lehr- und Lernmaterialien - sogenannte&nbsp;<a target=""_blank"" rel=""noopener"" href=""https://open-educational-resources.de/"">Open Educational Resources</a>&nbsp;(OER) entwickelt. Die Inhalte unserer Materialien sind, sofern nicht anders angegeben, unter&nbsp;<a target=""_blank"" rel=""noopener"" href=""https://creativecommons.org/licenses/by-sa/4.0/deed.de"">CC-BY-SA 4.0</a>&nbsp;TueftelAkademie verwendbar.</p>"
161,161,161,LERNEN.cloud,Kulturelle Kompetenz: Strategien für erfolgreiche Kommunikation in einer globalisierten Welt,Culture;Cultural competence;Intercultural competence;Communication;Globalisation;Reflection;Self-reflection;Cultural studies;Differences;Understanding,Cultural Competence;Global Communication;Cross-Cultural Understanding;Effective Communication;Cultural Awareness;Globalization;International Relations;Interpersonal Skills;Diversity and Inclusion;Soft Skills,,
162,162,162,LERNEN.cloud,Die belastbare Lehrerstimme,voice;teacher;lesson;school;powerful;self-confident,Voice training;Public speaking;Confidence building;Communication skills;Breathing exercises;Vocal techniques;Self-expression;Confidence boosting;Effective communication;Personal growth,Die belastbare Lehrerstimme,"<p>Sie wuenschen sich, kraftvoll und selbstbewusst zu sprechen?Sie moechten mit ihrer Stimme Menschen begeistern? Ihre Stimme kann so viel mehr, als Sie bisher dachten – lernen Sie sie kennen, einzusetzen und vor allem: lernen Sie sie lieben.</p>"
163,163,163,LERNEN.cloud,bettermarks - das adaptive Lernsystem für Mathematik innerhalb der NBC,Maths;maths book;bettermarks;teaching tool,Math Learning;Adaptive System;Online Exercises;Automatic Correction;Direct Feedback;Constructive Help;Detailed Solutions;Educational Platform;Grade 4-11;Math Practice,,
